15,1
22,1
10,1
17,1
18,1
23,2
18,1
24,2
11,1
21,1
14,1
10,1
22,1
28,1
12,1
13,1
18,2
22,1
13,1
16,1
21,1
13,1
15,1
22,1
12,1
11,1
10,1
28,2
27,1
10,1
20,1
19,2
23,1
13,1
22,1
11,1
10,1
13,1
25,2
15,1
23,1
11,1
25,1
13,1
32,2
21,1
10,1
25,1
30,1
24,1
20,2
14,1
16,1
15,1
13,1
22,1
13,1
14,1
10,1
25,2
15,1
17,1
14,1
21,1
12,1
22,1
11,1
18,1
30,1
21,2
15,1
18,1
28,2
14,1
19,1
31,1
14,1
12,1
19,1
16,1
16,1
11,1
24,2
12,1
10,1
24,1
26,1
26,2
20,1
19,1
18,1
16,1
14,1
29,2
15,1
19,2
20,1
23,1
12,1
17,1
18,1
10,1
27,2
13,1
23,2
21,1
24,1
20,1
22,2
10,1
10,1
16,1
11,1
16,1
12,1
18,1
13,1
11,1
19,1
10,1
22,1
10,1
12,1
20,1
23,2
17,1
11,1
16,1
27,2
17,1
13,1
13,1
26,2
15,1
12,1
18,1
27,2
12,1
11,1
12,1
34,1
14,1
17,1
22,1
11,1
30,1
13,1
23,1
22,2
10,1
18,1
14,1
19,1
17,1
26,2
19,1
25,2
29,2
23,1
32,1
12,1
15,1
18,1
23,2
11,1
16,1
15,1
16,1
26,2
22,1
14,1
16,2
29,1
23,2
26,2
23,2
21,2
11,1
23,1
21,1
11,1
11,1
20,1
10,1
20,1
15,1
19,2
23,1
16,1
30,2
10,1
21,1
18,2
11,1
15,1
27,1
14,1
10,1
22,1
19,1
24,2
22,2
24,1
17,1
11,1
28,1
13,1
12,1
28,2
24,2
17,1
32,2
11,1
14,1
24,1
27,1
15,1
10,1
16,1
10,1
16,1
14,1
21,1
16,1
17,1
28,1
18,1
26,1
12,1
12,1
11,1
25,1
17,1
25,2
12,1
21,1
14,1
26,1
10,1
23,2
14,1
15,1
16,1
22,1
17,1
14,1
15,1
17,1
17,1
34,1
28,2
15,1
10,1
22,2
25,1
10,1
16,1
23,1
19,1
26,1
16,1
19,1
20,1
18,1
11,1
21,1
18,1
12,1
16,1
